id,name,category,type,subtype,description,damage,damagetype,requirement,ammo,weight,cost,statuseffect,stats
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO_NAME,,item,misc,loot,1111,,,,,,,,
,NO_ID,item,misc,loot,22222,,,,,,,,
vhstape,VHS tape,item,misc,loot,An ancient plastic tome of unknowable analog mysteries.,,,,,,,,
fakecondom,Tampered Condom,item,misc,condom,"A condom that has been tampered with, reducing its effectiveness.",,,,,,,,
,Choké Ball,item,misc,binds,________________________ Gotta enslave 'em all.,,,,,,,,
,High-Tech Condom,item,misc,condom,A ring of elastisteel tech designed to be affixed to the base of the penis. When activated it produces a special low-level forcefield that protects without dulling sensation.,,,,,,,,
,Rope,item,misc,binds,A length of rope. Abundant in ropelike qualities and suitable for all rope-related activities.,,,,,,,,
,Pleasure Membrane,item,misc,condom,,,,,,,,,
bonerpill,Stonecock Pill,item,use,buff,A pill that gets you hard. Based on an ancient formula from a lost age.,,,,,,,,
fuckpill,Staylong Pill,item,use,drug,"This pill allegedly enhances male sexual performance by increasing stamina and libido, and boosting blood flow to the penis to enhance its girth and length temporarily.",,,,,,,,
spermpill,Sperminator Pill,item,use,drug,"This pill stimulates semen production, causing excessive cum during intercourse. More sperm means a greater chance of impregnation.",,,,,,,,
spanishfly,Spanish Fly Pill,item,use,drug,This pill supposedly sends female libido into overdrive. A time-honoured facilitator of romance.,,,,,,,,
shard,Shard of Euphoria,item,use,drug,An extremely dangerous mind-addling substance that is incredibly popular among the mutants.,,,,,,,,
mothermilk,Mother's Milk,item,use,drink,Very special breast milk from the woman who birthed you.,,,,,,,,
blackblood,Blackblood,item,use,drug,A bitter venom used as a drug by savage tribes of the hellscapes.,,,,,,,,
isismilk,Milk of Isis,item,use,drink,The milk of a goddess. ,,,,,,,,
lovehatepill,180 Pill,item,use,drug,"Turns hate to love and love to hate, for a short period of time.",,,,,,,,
,LibiGo Pill,item,use,drug,A pill that dramatically reduces arousal.,,,,,,,,
sleeppill,Amnesium Pill,item,use,drug,"This pill puts whoever imbibes it into a drowsy, dissoriented and forgetful state. Dissolves instantly in liquids.",,,,,,,,
fairydust,Fairy Dust,item,use,drug,"Sparkling flecks of dust that, when inhaled or snorted, make you feel so high you think you can fly. Many lives have been lost due to its use.",,,,,,,,
biospray,Bio-Spray,item,use,heal,A Ultrasporin-brand aerosol healing spraycan. They stopped making this stuff a long time ago.,,,,,,,,
climaxpill,CliMaxx Pill,item,use,drug,An aphrodisiac pill to enhance a woman's enjoyment of sex. It won't put her in the mood but she will certainly enjoy herself more.,,,,,,,,
ovulationpill,OvuPro Pill,item,use,drug,"This pill is a powerful female fertility aid. Though ancient, its potency is still not entirly lost.",,,,,,,,
breastmilk,Breast Milk,item,use,drink,A nutritious beverage that is almost as delicious as its source.,,,,,,,,
