id,name,category,type,subtype,description,notes
mother,Mother,This person's female parent.,repro,str,,
father,Father,This person's male parent.,repro,str,,
offspringList,Offspring List,This person's progeny.,repro,arr,,
pregTime,Pregnancy Stage,How many days left in their pregnancy.,repro,num,,
pregCause,Pregnancy Cause,Lovechild or hatespawn? How the pregnancy was caused.,repro,str,,rape/love/fuck/pay
offspring,Number of Offspring,How many offspring they have had.,repro,num,,
pregYours,Is this pregnancy yours?,,repro,bool,,
pregKnown,Does she know you're the father?,,repro,bool,,
pregRape,,,,bool,,
pregBastard,,,,bool,,
pregLove,,,,bool,,
pregPay,,,,bool,,
pregLust,,,,bool,,
,,,,,,
,,,,,,
,,,,,,
name,,,,,,
lastName,,,,,,
dob,,,,,,
gender,,,,,,
mother,,,,,,
father,,,,,,
bastard	//t/f	made,,,,,,
rape	//t/f	made during rape,,,,,,
knowDad //t/f	is your parentage known,,,,,,
