id,name,category,type,subtype,description,notes
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
fuck,Fucking,skill,,,How well you can please a partner sexually.,
sneak,Sneaking,skill,,,"How well you can evade detection, pick pockets, avoid combat, and generally go unnoticed.",
run,Running,skill,,,"How far and fast you can run, to flee combat or travel quickly.",
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
,,skill,,,,
flirt,Seduction,skill,c,,How skilled you are at arousing others and convincing them to have sex with you.,
barter,Barter,skill,c,,How well you can haggle with others and secure better prices and rewards.,
talk,Conversation,skill,c,,Ho,
shoot,Shooting,skill,combat,,,
fight,Fighting,skill,combat,,How well you can fight with melee weapons.,
hold,Grappling,skill,combat,,"How well you can grab, hold, and throw an enemy.",
punch,Punching,skill,combat,,How well you can fight in hand-to-hand combat.,
